index,price
0,172.559998
1,168.149994
2,169.389999
3,164.889999
4,159.389999
5,160.059998
6,152.220001
7,153.029999
8,159.789993
9,155.389999
10,156.110001
11,155.100006
12,159.339996
13,157.199997
14,157.929993
15,165.039993
16,166.320007
17,163.869995
18,164.520004
19,164.830002
20,168.660004
21,166.360001
